		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	0.05445	0.00866	6.29014	2.85093E-7	0.32751
intensity	xc	0.56848	0.00959	59.24996	1.73487E-37	0.0919
intensity	w	0.00843	0.0072	1.1718	0.24897	0.98818
intensity	A	0.01166	0.00995	1.17136	0.24915	0.98821
intensity	H	0.88007	0.08446			
intensity	y0	0.00337	2.74105E-4	12.28888	7.6262E-12	0.94966
intensity	xc	0.97582	0.00133	731.65009	9.79117E-54	0.00483
intensity	w	0.08137	0.00902	9.02443	3.50794E-9	0.91161
intensity	A	5.86677E-4	8.68757E-5	6.75306	5.51631E-7	0.97543
intensity	H	0.00459	2.58E-4			
intensity	y0	0.00176	2.02401E-4	8.68353	3.67583E-9	0.68579
intensity	xc	1.15907	6.15093E-4	1884.38033	2.27269E-68	0.00186
intensity	w	0.03963	0.00226	17.50671	6.58056E-16	0.72087
intensity	A	8.5714E-4	4.67074E-5	18.35127	2.11196E-16	0.84248
intensity	H	0.01377	4.27657E-4			
