		Wert	Standardfehler	t-Wert	Wahrsch.t	Abhängigkeit
intensity	y0	0.02867	0.0108	2.65479	0.01041	0.5798
intensity	xc	0.49828	7.90847E-4	630.05984	4.16261E-106	1.99889E-6
intensity	w	0.05004	0.00281	17.83297	2.72891E-24	0.68176
intensity	A	0.07707	0.00376	20.49097	3.89577E-27	0.79009
intensity	H	0.98041	0.0312			
intensity	y0	0.01436	0.00139	10.34002	1.05195E-10	0.95473
intensity	xc	0.85504	0.00271	315.30192	4.00495E-48	0.00254
intensity	w	0.08884	0.01907	4.65935	8.26078E-5	0.91789
intensity	A	0.00163	4.75524E-4	3.43713	0.00199	0.97785
intensity	H	0.01171	0.00129			
intensity	y0	-5.88341E-4	0.00133	-0.44146	0.66319	0.9869
intensity	xc	0.99056	0.00137	724.13939	1.09557E-49	0.25734
intensity	w	0.14621	0.01279	11.43095	1.00474E-10	0.97456
intensity	A	0.00452	6.48342E-4	6.97665	5.29348E-7	0.99458
intensity	H	0.0197	0.00122			
