Nichtlineare Kurvenanpassung (Lorentz) (27.07.2021 13:18:06)
Parameter
		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	0.02183	0.00963	2.26551	0.02813	0.60006
intensity	xc	0.5015	5.98917E-4	837.34561	8.93114E-100	1.79505E-5
intensity	w	0.04677	0.00215	21.72097	3.75928E-26	0.68983
intensity	A	0.07504	0.00304	24.65878	1.55173E-28	0.80034
intensity	H	1.02152	0.02639			
intensity	y0	0.01439	0.00136	10.54601	1.72312E-10	0.93115
intensity	xc	0.85991	0.00264	325.16019	2.90505E-45	0.01053
intensity	w	0.07714	0.01601	4.81746	6.60592E-5	0.89056
intensity	A	0.00159	4.23079E-4	3.76849	9.43767E-4	0.96674
intensity	H	0.01316	0.00136			
intensity	y0	6.04797E-4	0.00122	0.49612	0.62355	0.96921
intensity	xc	0.99147	0.00191	517.87367	4.3196E-59	0.14166
intensity	w	0.14669	0.01437	10.20728	4.1352E-11	0.94816
intensity	A	0.00444	6.38891E-4	6.95466	1.20682E-7	0.987
intensity	H	0.01928	0.00111			
