		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	0.00104	0.00175	0.59122	0.55866	0.41323
intensity	xc	1.17535	3.7751E-4	3113.42212	7.59169E-87	3.24399E-4
intensity	w	0.01997	0.00116	17.19082	2.10601E-17	0.61098
intensity	A	0.00619	2.9719E-4	20.82556	8.74318E-20	0.7028
intensity	H	0.19733	0.00719			
intensity	y0	-0.03488	0.01299	-2.68464	0.0127	0.51468
intensity	xc	2.34573	4.05039E-4	5791.35834	2.83288E-78	1.79962E-4
intensity	w	0.02217	0.00141	15.69811	1.86854E-14	0.65765
intensity	A	0.04013	0.00214	18.75506	3.06154E-16	0.76051
intensity	H	1.15257	0.04312			
intensity	y0	-0.01204	0.00439	-2.74108	0.01022	0.50203
intensity	xc	3.51657	4.55207E-4	7725.21412	3.2444E-96	3.02241E-5
intensity	w	0.02391	0.00152	15.71711	5.03487E-16	0.64863
intensity	A	0.015	8.03976E-4	18.65855	4.6617E-18	0.75003
intensity	H	0.39944	0.01512			
