		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	3.70837E-4	0.03861	0.0096	0.99238	0.87111
intensity	xc	0.48394	0.00222	217.79693	5.57076E-71	0.00315
intensity	w	0.10439	0.01107	9.42627	2.57485E-12	0.8372
intensity	A	0.15278	0.01834	8.33242	9.61491E-11	0.93685
intensity	H	0.93172	0.04688			
intensity	y0	0.01249	5.49865E-4	22.72347	5.02303E-20	0.92738
intensity	xc	0.8765	0.00134	652.95007	5.13509E-62	0.01312
intensity	w	0.09121	0.00797	11.44067	2.86292E-12	0.88678
intensity	A	0.00182	2.02105E-4	9.00374	6.74902E-10	0.96514
intensity	H	0.0127	5.52519E-4			
intensity	y0	2.91807E-4	8.84649E-4	0.32986	0.74426	0.97384
intensity	xc	0.99453	0.00185	536.19744	2.59109E-52	0.43618
intensity	w	0.14939	0.01273	11.7352	1.15714E-11	0.96668
intensity	A	0.00409	5.03164E-4	8.12616	1.76447E-8	0.99058
intensity	H	0.01742	7.96565E-4			
