		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	0.00848	0.01064	0.79691	0.42881	0.4722
intensity	xc	0.43554	0.00768	56.72067	7.7149E-52	0.17752
intensity	w	0.0497	0.01112	4.46827	3.79417E-5	0.61702
intensity	A	0.07727	0.01678	4.60432	2.36389E-5	0.67317
intensity	H	0.98987	0.15255			
intensity	y0	-0.0141	0.02252	-0.62616	0.53477	0.99999
intensity	xc	0.81695	0.01055	77.43712	3.34303E-45	0.91564
intensity	w	0.93425	0.55084	1.69606	0.09765	0.99997
intensity	A	0.03523	0.0537	0.65607	0.51554	1
intensity	H	0.02401	0.02247			
intensity	y0	4.87271E-4	9.59049E-4	0.50808	0.61368	0.99934
intensity	xc	1.0602	0.02173	48.78245	3.3628E-43	0.98115
intensity	w	0.63388	0.14424	4.39473	5.94061E-5	0.99876
intensity	A	0.00503	0.00212	2.36997	0.02177	0.99979
intensity	H	0.00505	9.91039E-4			
