		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	-0.02911	0.01132	-2.57222	0.01356	0.87456
intensity	xc	0.60229	0.00197	305.54315	7.5213E-75	0.15034
intensity	w	0.07758	0.00641	12.10275	1.35342E-15	0.7095
intensity	A	0.13039	0.00817	15.96878	6.33611E-20	0.73435
intensity	H	1.07004	0.07614			
intensity	y0	0.01115	0.00109	10.18854	4.31283E-11	0.98898
intensity	xc	1.04686	0.00654	160.18093	2.66754E-44	0.08064
intensity	w	0.16226	0.07091	2.28817	0.0296	0.97189
intensity	A	7.67199E-4	5.71861E-4	1.34158	0.19014	0.99491
intensity	H	0.00301	0.00101			
intensity	y0	0.00119	4.32067E-4	2.7491	0.00909	0.95838
intensity	xc	1.20648	0.0024	501.89637	3.02698E-74	0.42734
intensity	w	0.19255	0.01448	13.29627	7.19051E-16	0.95568
intensity	A	0.00337	3.41202E-4	9.86529	4.9704E-12	0.98567
intensity	H	0.01113	3.91773E-4			
