OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
0.1211282	0.0002732998	0.4531397	4.052607e-06	0.1144876	2.128907e-05	0.1144876	1.135173e-07	0.1144876	6.357488e-08
0.1277688	0.0003002004	0.4597794	0.002146413	0.1277688	4.232736e-05	0.1211282	5.156671e-10	0.1211282	2.619499e-08
0.1344093	2.512719e-06	0.4664191	0.001760909	0.1344093	3.623054e-05	0.1277688	1.803983e-07	0.1277688	1.421122e-06
0.1476904	8.629684e-11	0.4796984	0.004947816	0.154331	3.611012e-08	0.1344093	5.029842e-09	0.1344093	4.168352e-09
0.1609715	3.792379e-07	0.486338	1.206419e-05	0.1609715	4.185368e-07	0.1410499	1.784455e-09	0.1410499	2.167062e-10
0.167612	1.878511e-05	0.4929775	0.003224279	0.167612	9.088697e-07	0.1476904	1.76727e-09	0.1476904	2.263653e-10
0.180893	9.928108e-07	0.4996171	0.003582482	0.1742525	5.48734e-07	0.154331	2.515227e-09	0.154331	1.489169e-14
0.1875335	1.313046e-06	0.5062566	0.007680301	0.180893	2.131039e-05	0.167612	1.050606e-10	0.1609715	1.675047e-12
0.194174	1.148219e-06	0.5195355	0.0009355931	0.1875335	2.362287e-05	0.1742525	8.297092e-10	0.167612	1.799563e-08
0.2008145	1.882838e-05	0.5261749	0.002112612	0.2140954	1.958246e-06	0.180893	1.273453e-13	0.1742525	3.18786e-12
0.2340166	6.353199e-07	0.5328143	0.01421102	0.2605781	2.499357e-05	0.194174	1.349126e-08	0.180893	1.529207e-09
0.2605781	1.874073e-05	0.5394536	0.001865355	0.2672184	0.001500895	0.2008145	1.055694e-09	0.1875335	1.53681e-09
0.2672184	0.002345093	0.546093	0.008057489	0.3933812	0.0008512972	0.2074549	1.573889e-10	0.194174	1.248219e-09
0.4199408	0.0001662486	0.5593715	0.01117627	0.4133009	0.002816637	0.2140954	4.951298e-09	0.2008145	6.263546e-08
0.4265806	0.001309883	0.5660107	0.005399949	0.4199408	2.632344e-05	0.2273762	5.606054e-11	0.2074549	1.586433e-11
0.4398602	0.001458139	0.5726499	0.0009039106	0.4265806	0.002328093	0.2340166	3.439287e-10	0.2140954	1.496875e-09
0.4465	0.01265504	0.5792891	0.01189009	0.4332205	0.01645814	0.2472974	1.944632e-08	0.2273762	8.54725e-10
0.4531397	5.443841e-05	0.5859282	0.002528111	0.4398602	0.02033162	0.2539378	0.0002240992	0.2539378	4.118771e-10
0.4597794	0.0004709496	0.5925673	0.006469735	0.4531397	0.008713321	0.2605781	1.46987	0.2605781	0.01516992
0.4664191	0.00316556	0.5992063	0.00881526	0.4597794	0.0004864394	0.2672184	8.203364	0.2672184	1.008717
0.4730588	0.03664037	0.6058453	0.0005647026	0.4664191	0.006160242	0.2738587	3.278001	0.2738587	0.5949912
0.4796984	0.0290742	0.6124843	0.009375165	0.4730588	0.02427996	0.280499	0.8245388	0.280499	0.06961734
0.486338	0.0001102995	0.6191232	0.001359257	0.4796984	0.001707302	0.2871393	0.9150998	0.2871393	0.1261117
0.4929775	0.003625184	0.6257621	0.003937596	0.486338	0.01623094	0.2937796	0.7758373	0.2937796	0.03741725
0.4996171	0.01086002	0.632401	0.01607636	0.4929775	0.04269661	0.3004198	1.175703	0.3004198	0.09410009
0.5062566	0.002253352	0.6390398	0.0005112712	0.4996171	0.06142825	0.3070601	0.4384151	0.3070601	0.158588
0.5128961	0.01966422	0.6456786	0.001844893	0.5062566	0.02972895	0.3137003	0.5194828	0.3137003	0.08006681
0.5195355	0.01598263	0.6523173	0.002805883	0.5128961	0.006571965	0.3203405	0.8720655	0.3203405	0.2367008
0.5261749	0.01413878	0.6589561	0.009265304	0.5195355	0.03081595	0.3269806	0.8424757	0.3269806	0.2551311
0.5328143	0.05802986	0.6655947	0.007529474	0.5261749	0.03235556	0.3336208	0.7851347	0.3336208	0.3661622
0.5394536	0.01477335	0.6722334	0.01204694	0.5328143	0.02620411	0.3402609	0.5843968	0.3402609	0.7227814
0.546093	0.04602071	0.6788719	0.008355981	0.5394536	0.01437388	0.346901	1.078635	0.346901	0.1102679
0.5527323	0.07543706	0.6855105	0.004351861	0.546093	0.009711878	0.3535411	0.5324582	0.3535411	0.1282351
0.5593715	0.005139812	0.692149	0.003491217	0.5527323	0.04067285	0.3601812	0.5208164	0.3601812	0.1956334
0.5660107	0.01080888	0.6987875	0.009940577	0.5593715	0.05773468	0.3668212	0.4473195	0.3668212	0.2168722
0.5726499	0.02228028	0.7054259	0.01050068	0.5660107	0.03405738	0.3734613	0.4280205	0.3734613	0.2442905
0.5792891	0.07228271	0.7120643	0.02625874	0.5726499	0.02692593	0.3801013	0.2559422	0.3801013	0.02207869
0.5859282	0.06402954	0.7187026	0.004494315	0.5792891	0.01294116	0.3867413	0.2452557	0.3867413	0.2396788
0.5925673	0.00247868	0.7253409	0.01304147	0.5859282	0.01159138	0.3933812	0.1428282	0.3933812	0.3070337
0.5992063	0.02645698	0.7319792	0.007712521	0.5925673	0.02731152	0.4000211	0.4744155	0.4000211	0.01952596
0.6058453	0.01516521	0.7386174	0.01232526	0.5992063	0.09212133	0.4066611	0.3406587	0.4066611	0.3299541
0.6124843	0.05009723	0.7452555	0.01442285	0.6058453	0.00938313	0.4133009	0.3401871	0.4133009	0.1371098
0.6191232	0.009288878	0.7518937	0.00722651	0.6124843	0.04783574	0.4199408	0.2588077	0.4199408	0.1976164
0.6257621	0.009578817	0.7585317	0.009019762	0.6191232	0.01122829	0.4265806	0.2995545	0.4265806	0.3715544
0.632401	0.0103596	0.7651698	0.00387919	0.6257621	0.01890255	0.4332205	0.1389407	0.4332205	0.06102719
0.6390398	0.01563825	0.7718078	0.005808641	0.632401	0.04692532	0.4398602	0.1113679	0.4398602	0.03742447
0.6456786	0.01454276	0.7784457	0.006866741	0.6390398	0.05390581	0.4465	0.2492414	0.4465	0.1902016
0.6523173	0.02884462	0.7850836	0.007221425	0.6456786	0.01467055	0.4531397	0.2202651	0.4531397	0.1578192
0.6589561	0.01934495	0.7917214	0.00984995	0.6523173	0.05825354	0.4597794	0.1078078	0.4597794	0.01149202
0.6655947	0.01795386	0.7983592	0.004961324	0.6589561	0.02010951	0.4664191	0.07266222	0.4664191	0.04837639
0.6722334	0.01282691	0.804997	0.01063707	0.6655947	0.01912553	0.4730588	0.2022886	0.4730588	0.02977638
0.6788719	0.01019621	0.8116347	0.006087854	0.6722334	0.1077355	0.4796984	0.19044	0.4796984	0.225437
0.6855105	0.04402412	0.8182724	0.01410804	0.6788719	0.02986174	0.486338	0.1065374	0.486338	0.01616772
0.692149	0.02450991	0.82491	0.01568827	0.6855105	0.03263246	0.4929775	0.09990248	0.4929775	0.1592082
0.6987875	0.06126263	0.8315475	0.01895652	0.692149	0.02817152	0.4996171	0.08975776	0.4996171	0.07358783
0.7054259	0.04108349	0.838185	0.01927812	0.6987875	0.05348732	0.5062566	0.1805577	0.5062566	0.08590652
0.7120643	0.03777691	0.8448225	0.009488686	0.7054259	0.03507203	0.5128961	0.1353995	0.5128961	0.202647
0.7187026	0.02687655	0.8514599	0.01307917	0.7120643	0.0199538	0.5195355	0.2112909	0.5195355	0.05741242
0.7253409	0.07359309	0.8580972	0.01500765	0.7187026	0.03844122	0.5261749	0.1055765	0.5261749	0.08081255
0.7319792	0.02565664	0.8647345	0.007746192	0.7253409	0.01689041	0.5328143	0.1357198	0.5328143	0.18741
