OTAB_010wtp_T025_q	OTAB_010wtp_T025_i	OTAB_020wtp_T025_q	OTAB_020wtp_T025_i	OTAB_030wtp_T025_q	OTAB_030wtp_T025_i	OTAB_040wtp_T025_q	OTAB_040wtp_T025_i	OTAB_050wtp_T025_q	OTAB_050wtp_T025_i	OTAB_061wtp_T025_q	OTAB_061wtp_T025_i	OTAB_062wtp_T025_q	OTAB_062wtp_T025_i	OTAB_063wtp_T025_q	OTAB_063wtp_T025_i	OTAB_064wtp_T025_q	OTAB_064wtp_T025_i	OTAB_065wtp_T025_q	OTAB_065wtp_T025_i	OTAB_066wtp_T025_q	OTAB_066wtp_T025_i	OTAB_067wtp_T025_q	OTAB_067wtp_T025_i	OTAB_068wtp_T025_q	OTAB_068wtp_T025_i	OTAB_069wtp_T025_q	OTAB_069wtp_T025_i	OTAB_070wtp_T025_q	OTAB_070wtp_T025_i	OTAB_071wtp_T025_q	OTAB_071wtp_T025_i	OTAB_073wtp_T025_q	OTAB_073wtp_T025_i	OTAB_074wtp_T025_q	OTAB_074wtp_T025_i	OTAB_075wtp_T025_q	OTAB_075wtp_T025_i	OTAB_078wtp_T025_q	OTAB_078wtp_T025_i	OTAB_079wtp_T025_q	OTAB_079wtp_T025_i	OTAB_080wtp_T025_q	OTAB_080wtp_T025_i	OTAB_090wtp_T025_q	OTAB_090wtp_T025_i	OTAB_100wtp_T025_q	OTAB_100wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
0.1144876	5.022773e-05	0.1144876	0.0001425089	0.1144876	0.0001344119	0.1144876	0.0001398535	0.1144876	0.0001893135	0.1144876	6.462433e-05	0.1144876	0.0009117396	0.1144876	0.000260731	0.1144876	2.379735e-05	0.1144876	0.001316195	0.1144876	0.0001473631	0.1144876	0.0001709536	0.1144876	0.0001297146	0.1144876	3.474572e-05	0.1144876	0.001136569	0.4730588	0.006395601	0.1144876	5.532964e-05	0.1144876	1.829953e-05	0.7518937	0.0004159156	0.1144876	0.0005305526	0.1144876	0.0001184907	0.1144876	0.0009134349	0.1144876	0.0006871906	0.1144876	1.722012e-08	0.1144876	2.128907e-05	0.1211282	0.0002732998	0.4531397	4.052607e-06	0.1144876	1.135173e-07	0.1144876	6.357488e-08
0.1211282	3.202732e-05	0.1211282	8.237501e-05	0.1211282	9.126113e-05	0.1211282	0.0001441256	0.1211282	0.0001017913	0.1211282	2.753287e-05	0.1211282	0.00217394	0.1211282	0.000180387	0.1211282	7.051109e-05	0.1211282	0.0006134146	0.1211282	5.357368e-05	0.1211282	0.0004861192	0.1211282	8.27707e-05	0.1211282	3.900992e-05	0.1211282	0.0004637316	0.4796984	0.01062407	0.1211282	1.603241e-05	0.1211282	1.750138e-07	0.7585317	0.0003598062	0.1211282	4.442039e-07	0.1211282	9.085396e-05	0.1211282	0.0008304845	0.1211282	0.0006492683	0.1211282	3.359764e-08	0.1277688	4.232736e-05	0.1277688	0.0003002004	0.4597794	0.002146413	0.1211282	5.156671e-10	0.1211282	2.619499e-08
0.1277688	4.007452e-05	0.1277688	3.089387e-05	0.1277688	7.567179e-05	0.1277688	8.261919e-05	0.1277688	0.0001049555	0.1277688	6.654159e-05	0.1277688	0.003228156	0.1277688	8.996926e-05	0.1277688	2.121429e-05	0.1277688	0.0007430912	0.1277688	0.0001034716	0.1277688	0.0002774316	0.1277688	6.225999e-05	0.1277688	8.016842e-05	0.1277688	0.000378478	0.486338	0.0004635061	0.1277688	2.37837e-06	0.1277688	5.367372e-10	0.7784457	0.0001423689	0.1277688	5.816334e-07	0.1277688	2.049922e-05	0.1277688	0.001671098	0.1277688	0.0004783213	0.1277688	2.461711e-08	0.1344093	3.623054e-05	0.1344093	2.512719e-06	0.4664191	0.001760909	0.1277688	1.803983e-07	0.1277688	1.421122e-06
0.1344093	4.159042e-05	0.1344093	6.727684e-05	0.1344093	8.193601e-05	0.1344093	7.928888e-05	0.1344093	0.0001438971	0.1344093	4.781972e-05	0.1344093	0.001684207	0.1344093	7.39317e-05	0.1344093	3.870932e-05	0.1344093	0.0005782533	0.1344093	7.681245e-05	0.1344093	0.000103271	0.1344093	0.0001441475	0.1344093	8.44199e-05	0.1344093	0.0003231534	0.4929775	0.00373593	0.1344093	1.795211e-06	0.1344093	1.721573e-08	0.7850836	0.0002478614	0.1344093	3.794914e-07	0.1344093	3.925051e-07	0.1344093	0.0007708766	0.1344093	0.0005107565	0.1344093	5.568603e-09	0.154331	3.611012e-08	0.1476904	8.629684e-11	0.4796984	0.004947816	0.1344093	5.029842e-09	0.1344093	4.168352e-09
0.1410499	2.097933e-05	0.1410499	3.717403e-05	0.1410499	2.555185e-05	0.1410499	7.838917e-05	0.1410499	6.882604e-05	0.1410499	2.401554e-05	0.1410499	0.0005631196	0.1410499	6.547398e-05	0.1410499	1.576175e-05	0.1410499	0.0004282878	0.1410499	0.0001361991	0.1410499	0.0001024971	0.1410499	3.435994e-05	0.1410499	3.981442e-05	0.1410499	0.0002033357	0.4996171	0.00339371	0.1410499	2.107755e-05	0.1476904	3.246375e-09	0.8116347	0.0003481387	0.1410499	9.178742e-07	0.1410499	0.0002959413	0.1410499	0.0003598701	0.1410499	0.0003273949	0.1410499	3.747947e-09	0.1609715	4.185368e-07	0.1609715	3.792379e-07	0.486338	1.206419e-05	0.1410499	1.784455e-09	0.1410499	2.167062e-10
0.1476904	9.018931e-06	0.1476904	2.099846e-05	0.1476904	1.284285e-05	0.1476904	5.895369e-06	0.1476904	1.018748e-05	0.1476904	6.317778e-06	0.1476904	6.683011e-05	0.1476904	0.0001431334	0.1476904	2.743163e-05	0.1476904	0.0003321747	0.1476904	2.693032e-05	0.1476904	1.813278e-05	0.1476904	8.272856e-05	0.1476904	2.587918e-06	0.1476904	0.0004543084	0.5062566	0.005677134	0.1476904	3.432598e-06	0.154331	1.45256e-11	0.8182724	0.003167909	0.1476904	9.064305e-06	0.1476904	1.134945e-08	0.1476904	0.0003318057	0.1476904	0.0002106847	0.1476904	9.503133e-10	0.167612	9.088697e-07	0.167612	1.878511e-05	0.4929775	0.003224279	0.1476904	1.76727e-09	0.1476904	2.263653e-10
0.154331	1.01313e-05	0.154331	8.511214e-06	0.154331	1.797177e-05	0.154331	7.842683e-06	0.154331	1.694914e-05	0.154331	5.195806e-06	0.154331	0.0002856839	0.154331	0.0001178099	0.154331	6.240703e-06	0.154331	0.0002023054	0.154331	2.35755e-05	0.154331	7.542304e-05	0.154331	1.92519e-05	0.154331	1.153209e-05	0.154331	0.0002479968	0.5128961	0.006735044	0.154331	6.069061e-07	0.180893	6.196739e-09	0.838185	0.002370951	0.154331	1.118854e-05	0.154331	6.847685e-05	0.154331	0.0002466445	0.154331	0.0001365068	0.154331	1.826087e-09	0.1742525	5.48734e-07	0.180893	9.928108e-07	0.4996171	0.003582482	0.154331	2.515227e-09	0.154331	1.489169e-14
0.1609715	4.636202e-06	0.1609715	4.804273e-06	0.1609715	1.130173e-05	0.1609715	1.780386e-05	0.1609715	4.87904e-06	0.1609715	1.206143e-05	0.1609715	3.322748e-05	0.1609715	6.181902e-05	0.1609715	1.063361e-05	0.1609715	0.0002030807	0.1609715	1.992402e-05	0.1609715	2.550039e-05	0.1609715	2.177434e-06	0.1609715	1.507368e-05	0.1609715	0.0001503287	0.5195355	0.008770645	0.1609715	7.062988e-09	0.1875335	9.087004e-09	0.8448225	0.0007824771	0.180893	3.892747e-06	0.1609715	5.849517e-07	0.1609715	0.0002022034	0.1609715	0.000107566	0.1609715	1.544885e-09	0.180893	2.131039e-05	0.1875335	1.313046e-06	0.5062566	0.007680301	0.167612	1.050606e-10	0.1609715	1.675047e-12
0.167612	3.735314e-06	0.167612	3.235822e-06	0.167612	1.172821e-05	0.167612	6.047424e-06	0.167612	6.323404e-06	0.167612	2.678988e-05	0.167612	8.00285e-05	0.167612	2.124783e-05	0.167612	6.00462e-07	0.167612	8.868764e-05	0.167612	7.925669e-06	0.167612	8.16032e-06	0.167612	9.571064e-06	0.167612	5.432477e-06	0.167612	0.0001545232	0.5261749	0.007721087	0.167612	1.25156e-07	0.194174	7.167814e-12	0.8713718	0.004663715	0.1875335	2.456735e-07	0.167612	1.086875e-06	0.167612	0.0001526649	0.167612	9.009269e-05	0.167612	6.632018e-09	0.1875335	2.362287e-05	0.194174	1.148219e-06	0.5195355	0.0009355931	0.1742525	8.297092e-10	0.167612	1.799563e-08
0.1742525	9.089967e-07	0.1742525	1.307362e-06	0.1742525	9.442724e-06	0.1742525	1.977883e-06	0.1742525	4.048966e-06	0.1742525	8.553631e-07	0.1742525	3.127473e-06	0.1742525	2.271986e-06	0.1742525	1.816809e-06	0.1742525	7.8679e-05	0.1742525	5.0567e-06	0.1742525	2.938198e-05	0.1742525	3.138376e-06	0.1742525	1.879385e-06	0.1742525	0.0002348494	0.5328143	0.008300874	0.1742525	2.638576e-07	0.2140954	1.001503e-07	0.878009	0.001460297	0.2008145	1.778786e-07	0.1742525	2.613636e-11	0.1742525	1.935564e-05	0.1742525	1.559051e-05	0.1742525	7.18417e-10	0.2140954	1.958246e-06	0.2008145	1.882838e-05	0.5261749	0.002112612	0.180893	1.273453e-13	0.1742525	3.18786e-12
