		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
I	y0	-0.00321	0.0128	-0.25103	0.80203	0.12604
I	xc	2.52688	2.07562E-4	12174.09008	0	9.04486E-7
I	w	0.03107	6.06934E-4	51.1964	9.16716E-123	0.53254
I	A	0.47739	0.00682	69.99634	2.01664E-150	0.56293
I	H	9.78068	0.13062			
I	y0	0.01197	9.86043E-4	12.13817	6.45975E-18	0.38612
I	xc	4.39166	5.90473E-4	7437.52514	1.46894E-183	1.4915E-6
I	w	0.0321	0.00189	16.97917	8.57079E-25	0.61002
I	A	0.00616	2.89074E-4	21.29901	6.10183E-30	0.69308
I	H	0.12211	0.0045			
