		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
I	y0	-0.14247	0.09585	-1.48646	0.13924	0.12367
I	xc	2.51072	1.54922E-4	16206.28163	0	5.64271E-4
I	w	0.02124	4.64701E-4	45.70049	2.52642E-90	0.53665
I	A	2.25216	0.03562	63.23405	1.49046E-110	0.56575
I	H	67.5127	1.00589			
I	y0	0.04105	0.00307	13.36773	1.87228E-17	0.48928
I	xc	4.3502	8.71153E-4	4993.6139	1.16887E-133	3.12029E-6
I	w	0.03347	0.00293	11.41547	5.12391E-15	0.64644
I	A	0.01107	8.06724E-4	13.71937	7.17014E-18	0.74482
I	H	0.21052	0.01099			
