		Wert	Standardfehler	t-Wert	Wahrsch.>|t|	Abhängigkeit
intensity	y0	0.00475	0.00359	1.32324	0.18962	0.65385
intensity	xc	0.54097	0.00267	202.46315	6.54584E-108	0.05302
intensity	w	0.04336	0.00962	4.51007	2.25401E-5	0.878
intensity	A	0.08928	0.01425	6.26596	1.88979E-8	0.83382
intensity	H	1.31076	0.47483			
intensity	y0	0.00235	7.78421E-4	3.0207	0.00591	0.99528
intensity	xc	0.9844	0.00171	574.79317	3.25823E-51	0.27639
intensity	w	0.1885	0.02223	8.48141	1.10473E-8	0.98813
intensity	A	0.00204	4.48049E-4	4.55442	1.28958E-4	0.99798
intensity	H	0.00689	7.33128E-4			
intensity	y0	-0.00136	5.38125E-4	-2.52435	0.01643	0.9781
intensity	xc	1.10843	0.00173	641.85335	4.87551E-71	0.3156
intensity	w	0.19761	0.01337	14.77468	2.31946E-16	0.96653
intensity	A	0.00374	3.81025E-4	9.80635	1.92019E-11	0.99149
intensity	H	0.01204	4.86764E-4			
